"n_arco" "V1" "V2"
1 166 167
2 167 168
3 164 168
4 168 169
5 165 169
6 164 166
7 164 165
8 160 165
9 159 169
10 159 160
11 156 170
12 155 156
13 155 160
14 152 155
15 162 164
16 161 162
17 160 161
18 154 161
19 154 155
20 153 154
21 152 153
22 151 153
23 148 151
24 148 152
25 151 171
26 156 157
27 147 157
28 146 157
29 146 147
30 148 150
31 148 149
32 141 149
33 145 146
34 141 145
35 156 158
36 140 141
37 146 172
38 147 148
39 159 170
