"count" "avg_speed"
"1" 6185 21.3006994341148
"2" 8909 11.7712415198114
"3" 7630 8.03044128440366
"4" 11000 9.10696516363641
"5" 8880 17.0360364189189
"6" 4936 8.30092224473258
"7" 5005 18.104212047952
"8" 215 11.2202325581395
"9" 5759 21.9036750998436
"10" 81 14.4085419753086
"11" 4115 20.093114945322
"12" 4130 28.547318062954
"13" 4082 22.020373566879
"14" 4387 25.7201388420333
"15" 631 3.71090776545167
"16" 2263 2.97024052143172
"17" 4789 6.49325614950929
"18" 38 13.1877684210526
"19" 4 9.082275
"20" 5261 13.2912474624596
