"count" "avg_speed"
"1" 6352 6.58150159005037
"2" 6301 15.0330228535153
"3" 2703 10.0278783573807
"4" 5734 18.6870494070458
"5" 2941 10.0087485889154
"6" 1184 2.09215177364865
"7" 9271 9.43658478049834
"8" 3285 12.1426387214612
"9" 505 12.9265821782178
"10" 3141 9.16764686405602
"11" 4409 19.9329660467225
"12" 4078 8.30870880333497
"13" 1014 23.9439322485207
"14" 7444 5.89455427189683
"15" 3631 10.3687040484715
"16" 14602 7.06372337351048
"17" 4035 9.71152456009915
"18" 15658 7.88691039724107
"19" 1089 0.735920936639119
"20" 38972 9.47861682490004
"21" 5529 7.13668562126967
"22" 41241 8.71881903688087
"23" 2023 6.49092417202176
"24" 1007 6.44115799404172
"25" 304 15.6837006578947
"26" 1950 0.547433333333334
"27" 1479 8.85309229208926
"28" 817 7.30166854345166
"29" 16571 9.63604662361955
"30" 359 10.7906011142061
"31" 813 14.4532140221402
"32" 1829 5.25984461454347
"33" 1460 6.53223178082192
"34" 15674 5.2154203075156
"35" 3848 18.7613350051974
"36" 2137 9.58265245671502
