"n_arco" "V1" "V2"
1 209 210
2 209 142
3 142 220
4 142 143
5 143 219
6 220 230
7 144 221
8 221 222
9 218 219
10 219 221
11 210 211
12 217 218
13 230 219
14 230 211
15 211 212
16 230 217
17 212 217
18 216 217
19 227 217
20 217 223
21 213 216
22 214 216
23 215 216
24 214 215
25 215 228
26 228 229
27 229 227
28 228 226
29 227 226
30 226 225
31 227 224
32 225 224
33 223 224
34 218 221
35 211 220
36 216 229
