"count" "avg_speed"
"1" 24 11.5150666666667
"2" 8232 21.9676693027212
"3" 289 7.00500034602076
"4" 14827 14.5739695218183
"5" 706 2.77548796033994
"6" 8662 4.55399098360656
"7" 4083 10.6620318883174
"8" 1367 16.0052468910022
"9" 10593 16.2904485981308
"10" 13607 10.0412723083706
"11" 20825 18.5972167539018
"12" 7920 8.27285606060606
"13" 9399 17.4502919246728
"14" 4516 16.7179061116032
"15" 36 11.5013888888889
"16" 0 0
"17" 0 0
"18" 4580 22.0686594759825
"19" 0 0
"20" 2662 6.31255345604808
"21" 0 0
"22" 1 14.6313
"23" 0 0
"24" 60 15.261425
"25" 3026 23.6264849306014
"26" 0 0
"27" 14207 18.7683288097417
"28" 25352 5.20345903281792
"29" 15829 15.5530805357257
"30" 574 7.87072613240419
"31" 29 23.0076275862069
"32" 0 0
"33" 0 0
"34" 4883 18.6685269711243
"35" 0 0
"36" 2540 20.7195560629921
"37" 0 0
"38" 243 15.0662296296296
"39" 6497 16.7997346929353
"40" 11238 19.449905445809
