"n_arco" "V1" "V2"
1 79 82
2 79 80
3 77 80
4 80 98
5 75 78
6 80 81
7 81 82
8 59 82
9 82 83
10 60 83
11 81 99
12 81 86
13 84 85
14 85 86
15 86 87
16 83 95
17 86 90
18 87 88
19 88 89
20 61 101
21 61 95
22 17 75
23 57 75
24 58 78
25 75 76
26 77 78
27 77 97
28 76 77
29 76 96
30 16 76
31 88 93
32 89 90
33 90 135
34 94 95
35 83 84
36 78 79
37 87 100
38 84 92
39 92 95
40 85 91
41 91 94
42 94 135

